Age,Monthly_Income,Employment_Type,Loan_Amount,Loan_Tenure,Existing_EMI,Past_Default,Credit_Score,Eligibility_Status
59,35358,Self-Employed,278504,45,22986,0,512,0
49,18267,Salaried,696117,16,29670,0,348,0
35,97745,Self-Employed,702665,8,11543,0,426,0
63,104588,Salaried,575910,11,29371,0,522,0
28,53513,Self-Employed,623044,14,18733,0,578,1
41,41092,Salaried,90809,11,28178,0,707,2
59,26338,Salaried,591013,14,5699,0,804,1
39,15412,Self-Employed,766756,44,17625,0,593,0
43,22543,Self-Employed,101226,36,1125,0,576,1
31,48496,Self-Employed,549512,37,10793,0,737,2
31,75692,Self-Employed,655470,46,25766,0,406,0
44,104084,Salaried,525781,55,6764,0,719,2
56,107920,Self-Employed,79402,17,21485,0,728,2
60,59425,Salaried,54263,13,12323,0,674,1
44,53756,Salaried,227900,13,13031,0,372,0
23,33888,Self-Employed,622212,55,14052,1,329,0
42,50735,Salaried,386326,33,12640,0,487,0
22,62295,Salaried,274137,25,7843,0,663,1
44,98042,Salaried,502268,52,14210,0,750,2
64,100999,Salaried,347881,12,16456,0,494,0
50,32955,Self-Employed,413476,16,21856,0,455,0
58,52841,Self-Employed,401707,25,10106,0,471,0
22,85640,Self-Employed,734733,21,5189,0,340,0
41,80510,Self-Employed,560585,9,2472,1,362,0
53,49911,Salaried,741757,11,27622,0,322,0
32,74031,Salaried,440719,27,17091,0,659,1
42,103726,Self-Employed,529361,31,18188,0,374,0
64,22357,Self-Employed,151371,8,6704,0,417,0
45,47479,Self-Employed,612997,46,3713,0,679,1
47,76476,Salaried,242192,47,5051,0,589,1
62,59811,Self-Employed,200322,19,10756,0,739,2
48,51208,Self-Employed,71172,16,2475,0,306,0
36,35150,Self-Employed,585843,23,3610,0,495,0
35,86180,Salaried,627564,59,4255,0,720,2
64,58286,Salaried,631780,17,14484,0,492,0
23,83450,Salaried,758362,28,27399,0,447,0
57,36352,Salaried,563319,17,23781,0,501,0
27,70069,Salaried,272320,18,1735,0,743,2
41,29397,Salaried,467978,30,26161,0,718,2
29,56555,Salaried,61046,50,8258,0,726,2
59,61959,Salaried,278071,56,27637,1,778,1
38,15728,Self-Employed,428165,24,7979,0,774,1
24,65517,Self-Employed,758662,51,2428,0,425,0
45,81234,Salaried,466366,41,12345,0,694,1
34,54954,Salaried,316997,50,7426,0,624,1
29,62280,Self-Employed,695188,13,8533,1,691,1
46,94459,Salaried,532615,34,5249,1,739,1
22,31779,Salaried,465008,58,27350,0,503,0
40,78932,Salaried,633417,37,21675,0,785,2
48,87936,Self-Employed,255550,56,19201,0,330,0
27,39466,Self-Employed,294883,49,27237,1,687,1
64,51939,Self-Employed,688418,23,25808,0,733,2
28,84896,Self-Employed,510514,11,20258,0,675,1
55,50270,Self-Employed,721210,23,26977,0,643,1
34,74163,Salaried,171789,24,9686,0,742,2
37,97637,Self-Employed,729418,27,14109,0,374,0
56,66934,Salaried,750780,42,20595,0,454,0
60,79895,Salaried,613178,37,661,0,729,2
24,47307,Self-Employed,116017,46,12075,0,662,1
22,69098,Self-Employed,228376,8,28195,0,747,2
26,75921,Salaried,738281,33,14788,0,533,0
62,20486,Salaried,549137,15,10060,0,561,1
24,23335,Salaried,706884,56,15836,0,424,0
49,101900,Self-Employed,674712,40,10526,0,544,0
38,117795,Self-Employed,743264,34,3374,0,841,2
46,104112,Self-Employed,608296,59,25592,0,784,2
64,112203,Self-Employed,443276,20,28982,0,421,0
54,26130,Self-Employed,780026,38,207,0,424,0
30,102508,Salaried,657847,12,2665,0,848,2
56,75566,Self-Employed,105337,17,18877,0,469,0
34,81703,Salaried,325494,54,23197,0,423,0
51,42192,Salaried,74354,35,632,0,334,0
35,16062,Salaried,95186,26,26678,0,386,0
28,99076,Self-Employed,602433,36,27535,0,500,0
34,104780,Self-Employed,477236,29,3083,0,668,1
43,36545,Self-Employed,660411,25,29328,0,376,0
60,36689,Salaried,549883,42,13711,0,358,0
41,26174,Salaried,780546,9,10123,0,730,1
36,103461,Salaried,790829,33,20103,0,799,2
38,118033,Salaried,594869,49,7123,0,408,0
44,24348,Salaried,663217,25,10754,0,577,1
46,38714,Salaried,335195,29,1679,0,367,0
45,53102,Self-Employed,625762,55,15901,0,368,0
61,89460,Self-Employed,666036,54,236,0,464,0
49,117634,Self-Employed,175995,56,7446,0,788,2
35,104930,Self-Employed,295690,37,4443,0,604,1
21,21801,Salaried,381770,46,23154,0,664,1
45,118150,Salaried,478988,41,15463,0,678,1
27,87267,Self-Employed,230553,58,29301,1,642,1
29,63136,Salaried,610696,39,26116,1,653,1
44,38625,Self-Employed,309568,41,22483,0,715,2
21,97873,Self-Employed,369278,7,28519,0,408,0
64,115843,Self-Employed,201563,20,29943,0,796,2
28,87592,Salaried,706701,39,8555,0,640,1
44,92052,Self-Employed,749983,41,18752,0,682,1
31,59261,Self-Employed,664615,11,16669,0,832,2
37,16542,Self-Employed,443554,44,148,0,599,1
28,36677,Salaried,252503,47,13395,0,438,0
55,61732,Salaried,193326,56,20421,0,658,1
55,65343,Self-Employed,757220,56,22933,0,798,2
53,54081,Salaried,61344,59,23505,0,684,1
25,77856,Salaried,444966,17,29127,0,579,1
62,108105,Salaried,642245,8,26342,0,782,2
59,103858,Salaried,155423,50,4895,0,410,0
61,34065,Salaried,370197,23,21664,0,438,0
48,98460,Salaried,514071,45,17396,0,734,2
27,103092,Salaried,721256,26,11023,0,808,2
29,69693,Salaried,236833,20,10699,0,572,1
28,41962,Salaried,767912,38,9715,0,398,0
32,43295,Salaried,127454,40,19169,1,403,0
